UNTRANSLATED_PLAYER_FACING=173
UNTRANSLATED: Fullscreen || src/pingus/screens/option_menu.cpp:208
UNTRANSLATED: One jump to catch them all || data/levels/halloween/halloween1-grumbel.pingus:5
UNTRANSLATED: The pingus have found themselves lost on their journey.  What is this mysterious place?  Smiling pumpkins, giant candlesticks, and some boiling soup below... what wizardry is this? Now, facing a deadly abyss right in front of them it's your job to save them. Can you save them from a terrible fate? || data/levels/halloween/halloween1-grumbel.pingus:6
UNTRANSLATED: One Thousand and One Jumps || data/levels/halloween/halloween2-grumbel.pingus:5
UNTRANSLATED: With the exit so high above and far out of reach for a normal Pingu, what options are there? Perhaps a jumper can rescue them?  Or will he simply slow their inevitable demise? It's your job to find out, but are you good enough to save them all? || data/levels/halloween/halloween2-grumbel.pingus:6
UNTRANSLATED: Boom Boom || data/levels/halloween/halloween3-grumbel.pingus:5
UNTRANSLATED: You've mastered the last challenge and now face the next. Their path to salvation seems to be cursed, but by whom? There is no time to think about it, since the next deadly challenge already awaits the Pingus. Two mighty roots block the way, but without a basher at hand to bash them away, sacrifice might be the only option... || data/levels/halloween/halloween3-grumbel.pingus:6
UNTRANSLATED: Full Circle || data/levels/halloween/halloween4-grumbel.pingus:5
UNTRANSLATED: The exit is so close, yet out of reach. A step in the wrong direction and the Pingus will fall to a terrible fate. You must do something to help them, but is there enough time? You have to hurry and can't allow yourself any mistakes. The Pingus are counting on you! || data/levels/halloween/halloween4-grumbel.pingus:6
UNTRANSLATED: Bridgers Nightmare || data/levels/halloween/halloween5-grumbel.pingus:5
UNTRANSLATED: Who placed this monstrous wall here?  This terrible blockade separates your Pingus from the exit. Destruction of its awful construction seems an impossibility, but perhaps the bridger can come to the rescue?  Can they build their bridges high enough to guide the group yet again safely to the exit? Or is somebody playing evil mind tricks with you?\n\nYet again the solution is your call... your gray matter is the key to the Pingus' success, so don't let yourself get confused and misguided from the true path. || data/levels/halloween/halloween5-grumbel.pingus:6
UNTRANSLATED: Locked up by the witch || data/levels/halloween/halloween6-grumbel.pingus:5
UNTRANSLATED: Is this a prison? Blocked by solid walls all around, there doesn't seem to be a way to escape. Salvation seems impossible. But wait... the wall to the right seems weak... perhaps this is a way to escape? Or is it a false path that will lead to the Pingus' doom?\n\nThis is a risky trip, but you must take it to find out how to bring them all to freedom once again. || data/levels/halloween/halloween6-grumbel.pingus:6
UNTRANSLATED: Splatterfest || data/levels/halloween/halloween7-grumbel.pingus:5
UNTRANSLATED: This is by far the deepest pit the Pingus have yet encountered. Building a bridge across it seems obvious but that won't help since the exit is deep down in the pit itself. Pingus who try to go down the pit will just end up splattered all over the ground. You have two groups of Pingus at your disposal, can you make them work together to reach even an exit this well hidden? || data/levels/halloween/halloween7-grumbel.pingus:6
UNTRANSLATED: Staircase Maintenance || data/levels/halloween/halloween8-plouj.pingus:5
UNTRANSLATED: It seems we are up again against a mighty wall, and it is blocking the exit! But wait, some good soul has built a staircase around it. It seems, however, that the poor fool's efforts didn't last long, as the staircase is destroyed and full of holes. Can you fix it and make it over the wall? Yet of course you know that the right solution might not be the obvious one. But your Pingus are almost free, and they trust in your skill to guide them to safety once more. Succeed and you will have freed them once and for all from whatever evildoer that placed them in this nightmare... at least for this year. || data/levels/halloween/halloween8-plouj.pingus:6
UNTRANSLATED: Down Into The Cave || data/levels/halloween2011/halloween10-grumbel.pingus:5
UNTRANSLATED: The exit is far below and the pingus are separated from it by quite a distance. The path down is riddled with gulfs, so jumping and bridging will be the primary tool to get down there. But be careful, the last few steps require some extra cleverness. || data/levels/halloween2011/halloween10-grumbel.pingus:6
UNTRANSLATED: Round and Round || data/levels/halloween2011/halloween11-grumbel.pingus:5
UNTRANSLATED: Trapped in an eternal loop one brave pingu has to break out and go on a journey in search for the exit, but he mustn't be too happy once he found it, as there is still one last challenge he must solve before being allowed to enter it, otherwise all his friends might perish. || data/levels/halloween2011/halloween11-grumbel.pingus:6
UNTRANSLATED: Red Herring Cave || data/levels/halloween2011/halloween12-grumbel.pingus:5
UNTRANSLATED: The exit is right above the pingus heads, with a few friendly arrows pointing the way. With jumpers around the solution should be obvious. But wait, can anything you find in a dark cave be trusted or is there some more going on which might slip your view? Thinking outside the box might be required. || data/levels/halloween2011/halloween12-grumbel.pingus:6
UNTRANSLATED: Group Coordination || data/levels/halloween2011/halloween13-grumbel.pingus:5
UNTRANSLATED: Three groups are on their way to the exit, one of them trapped right above it, but locked into a box. None of them can make it alone, coordinate them wisely and everybody should be able to make it safely to the exit.  || data/levels/halloween2011/halloween13-grumbel.pingus:6
UNTRANSLATED: Traps, Dangers and other Problems || data/levels/halloween2011/halloween14-grumbel.pingus:5
UNTRANSLATED: The path to the exit lays below, shimmering through the planks. But the fall is too high, deadly for sure. Can one pingu alone make it's way through the dangerous traps and secure the path to the exit? || data/levels/halloween2011/halloween14-grumbel.pingus:6
UNTRANSLATED: Reach that Switch || data/levels/halloween2011/halloween15-grumbel.pingus:5
UNTRANSLATED: The path to the exit is straight, flat and simple, but wait a solid door blocking the way? How can the pingus open it? Is that a switch there on the hill to the right? Might that be the solution to opening the door and freeing the pingus? But how can they reach that switch? || data/levels/halloween2011/halloween15-grumbel.pingus:6
UNTRANSLATED: The Collapsed Column || data/levels/halloween2011/halloween16-grumbel.pingus:5
UNTRANSLATED: High up above the green slime the pingus are moving from column to column, getting closer to the exit with each step, but wait, there is a second group of pingus, they are stuck. The column next to them has collapsed making getting to the exit impossible. Can you find a way around the abyss? || data/levels/halloween2011/halloween16-grumbel.pingus:6
UNTRANSLATED: Island of Doom || data/levels/halloween2011/halloween17-grumbel.pingus:5
UNTRANSLATED: The pingus are released close together, but split up by a solid metal column with seemingly no way to join them back up. The journey will be dangerous and some height has be crossed with the exit hidden below. With some cleverness it should be possible to join those two groups back together. || data/levels/halloween2011/halloween17-grumbel.pingus:6
UNTRANSLATED: Tower of Death || data/levels/halloween2011/halloween18-grumbel.pingus:5
UNTRANSLATED: The pingus are at the top of the tower, with no stairway around. The exit is deep down, hidden at the foot of the tower. How shall they make it down all that height with no floaters sight? A few well placed diggers should be enough to get the job done, but wait, no, their direction isn't quite right. You have to give them directions or it will be their doom. || data/levels/halloween2011/halloween18-grumbel.pingus:6
UNTRANSLATED: The Ones || data/levels/halloween2011/halloween19-rz.pingus:5
UNTRANSLATED: This is the last stage the pingus have to pass during this Halloween. Two oddly familiar column are in the way. What do they mean? The two groups of pingus have to work together to make it down the columns to the exit far below. || data/levels/halloween2011/halloween19-rz.pingus:6
UNTRANSLATED: Down the valley and up again || data/levels/desert/desert1-janne.pingus:5
UNTRANSLATED: There is a large valley between the entrance and the exit. No bridge will be long enough to cross the valley, but can you find a way back up once you lead the Pingus down into the valley? || data/levels/desert/desert1-janne.pingus:6
UNTRANSLATED: After their long and dangerous journey through the desert the Pingus finally reach the large pyramid, but there is still a pedestal blocking their way. || data/levels/desert/desert1.pingus:6
UNTRANSLATED: Grand Hall || data/levels/desert/desert3-jings.pingus:5
UNTRANSLATED: The pingus have found themselves in the grand hall, a hall full of wonder and treasures. The exit however is high up and won't be easy to reach. Guide the pingus around the hall and maybe you will find a way. || data/levels/desert/desert3-jings.pingus:6
UNTRANSLATED: Pass the pedestal || data/levels/desert/desert3.pingus:5
UNTRANSLATED: A large pedestal is blocking the way to the exit and there aren't enough bashers available to dig it away. Can you find a way to make it past the pedestal? || data/levels/desert/desert3.pingus:6
UNTRANSLATED: The excavation of the pyramid || data/levels/desert/desert4.pingus:5
UNTRANSLATED: The excavations are open to reach the pyramid for his redeeming content. Some excavations, however, is best done with two competitors. Who comes first? || data/levels/desert/desert4.pingus:6
UNTRANSLATED: Catch them at the half way point || data/levels/desert/desert5.pingus:5
UNTRANSLATED: The Pingus are separated from the exit by large abyss. A simple bridge won't be enough to catch them safely, unless of course you find the right place to put it. Can you uncover that spot? || data/levels/desert/desert5.pingus:6
UNTRANSLATED: 25 Pingus free and 25 in the box || data/levels/desert/desert7-grumbel.pingus:5
UNTRANSLATED: Okay for the Bridger but what can I do with Digger? You should save at least one Pingu trapped in the box above the exit. || data/levels/desert/desert7-grumbel.pingus:6
UNTRANSLATED: Tunnel Time || data/levels/desert/desert8-grumbel.pingus:5
UNTRANSLATED: Dig a tunnel and you might make it to the exit. Digger and miners and stuff have to work together. || data/levels/desert/desert8-grumbel.pingus:6
UNTRANSLATED: Crawlspace || data/levels/desert/desert-crawl-timpany.pingus:5
UNTRANSLATED: The path to the exit is blocked and many small tunnels lead the way, but be careful some of those lead to certain death. Or is there something you can do about that and create a save passage for all the Pingus and lead them safely to the exit? || data/levels/desert/desert-crawl-timpany.pingus:6
UNTRANSLATED: The Roof || data/levels/desert/desertwaste1-grumbel.pingus:5
UNTRANSLATED: Sometimes the roofs are not good for refuge, sometimes it should be demolished! But be careful if you aren't precise enough, you might lead the Pingus straight to certain death. || data/levels/desert/desertwaste1-grumbel.pingus:6
UNTRANSLATED: Near can mean far || data/levels/mysteryisland/cave1-marcotte.pingus:5
UNTRANSLATED: What do you do when you're going in the wrong direction ? Simple: walk into a wall. But it is easier said than done... || data/levels/mysteryisland/cave1-marcotte.pingus:6
UNTRANSLATED: Trapped Underground || data/levels/mysteryisland/cave-lac.pingus:7
UNTRANSLATED: The penguins escaped the mad scientist, but now they were trapped deep underground. They had no food or water, so they had to move fast. || data/levels/mysteryisland/cave-lac.pingus:8
UNTRANSLATED: The penguins stopped and stood in indecision. What was real and what was not? Flame lanced from above and a guillotine glittered in the distance. Almost all penguins must survive. || data/levels/mysteryisland/hall-of-illusion-lac.pingus:6
UNTRANSLATED: The Lava Pit || data/levels/mysteryisland/lavapit3.pingus:7
UNTRANSLATED: The penguins had defeated the mad scientist, and were walking away from his destroyed laboratory when a huge hole opened under their feet. The penguins fell into an underground cave and the only way out was across the lava pit. Luckily, it seemed someone had left some helpful signs. || data/levels/mysteryisland/lavapit3.pingus:8
UNTRANSLATED: At least the experiments are over... || data/levels/mysteryisland/madscientist1-lac.pingus:7
UNTRANSLATED: The good news was that the mad scientist had tired of his experiments, the bad news was that now he was dumping them down a pit. A single flotation device was all the penguins had. Save as many as possible. || data/levels/mysteryisland/madscientist1-lac.pingus:8
UNTRANSLATED: Ghosting || data/levels/mysteryisland/multi1-lac.pingus:7
UNTRANSLATED: The penguins came to a long pass. Acid bubbled underneath and it seemed a climber or two were needed.  Hint: slider can be used to stop the miner ability. || data/levels/mysteryisland/multi1-lac.pingus:8
UNTRANSLATED: The Final (and surprisingly easy) Challenge || data/levels/mysteryisland/rainy1-lac.pingus:7
UNTRANSLATED: The penguins had reached the end of the island. In the water was a long tree, perfect for the penguin's needs. Their journey was almost over. || data/levels/mysteryisland/rainy1-lac.pingus:8
UNTRANSLATED: Winter Wonderland || data/levels/mysteryisland/snow2-lac.pingus:7
UNTRANSLATED: After getting past the lava pit, the penguins walked and walked until they reached a snowed in exit. That would be relatively easy to tunnel through but how would it be possible to tunnel through solid metal? || data/levels/mysteryisland/snow2-lac.pingus:8
UNTRANSLATED: The Journey Goes On || data/levels/mysteryisland/theend-lac.pingus:7
UNTRANSLATED: And so the penguins continued on their journey, drawing ever closer to the North Pole. They had escaped the guillotine, defeated the mad scientist and got a new boat. And so this chapter in their voyage was over, but there would be other obstacles. Nothing  would stop the determined penguins from reaching their goal. || data/levels/mysteryisland/theend-lac.pingus:8
UNTRANSLATED: Think fast (literally) || data/levels/mysteryisland/use-the-slide-lac.pingus:7
UNTRANSLATED: This would be simple but for one thing, there are no blockers. All the penguins must survive. || data/levels/mysteryisland/use-the-slide-lac.pingus:8
UNTRANSLATED: The penguins were sailing along happily on their makeshift boat until suddenly an island appeared. The penguins were drawn towards it and crashed, destroying their boat. Now they must find their way across this strange island. || data/levels/mysteryisland/volcano1-grumbel.pingus:6
UNTRANSLATED: Escape from Aliens || data/levels/alien/aliens1-phil.pingus:7
UNTRANSLATED: Aliens invade our starship blocking entrance to the teleporter. Your crew is well trained, like you they don't panic. || data/levels/alien/aliens1-phil.pingus:8
UNTRANSLATED: Escape from Aliens 2 || data/levels/alien/aliens2-phil.pingus:7
UNTRANSLATED: Aliens are now closest making your escape harder. You must dig it up. || data/levels/alien/aliens2-phil.pingus:8
UNTRANSLATED: Alien's nest || data/levels/alien/aliens4-phil.pingus:5
UNTRANSLATED: Pingus invade the nest. Take care of jaws. What's the matrix above? || data/levels/alien/aliens4-phil.pingus:6
UNTRANSLATED: Matrix of the death || data/levels/alien/aliens5-phil.pingus:5
UNTRANSLATED: Take a piece of paper. Now pingus have to enter the matrix of the death. This is a maze, bad ways are protect by jaws. || data/levels/alien/aliens5-phil.pingus:6
UNTRANSLATED: Spy's pingus in the matrix of the death || data/levels/alien/aliens6-phil.pingus:7
UNTRANSLATED: Spy's pingus have marked the location of jaws in the matrix of the death. Many died to gain that information :..( Perhaps this help. Perhaps... || data/levels/alien/aliens6-phil.pingus:8
UNTRANSLATED: Fourth dimension || data/levels/alien/aliens7-phil.pingus:7
UNTRANSLATED: The defenses of the aliens get stronger. Now you have to jump in the fourth dimension to win! || data/levels/alien/aliens7-phil.pingus:8
UNTRANSLATED: Set your watches || data/levels/alien/space-11-rz+eriksoe.pingus:5
UNTRANSLATED: Cooperation in space. || data/levels/alien/space-11-rz+eriksoe.pingus:6
UNTRANSLATED: Outside In || data/levels/alien/space-9-tom.pingus:5
UNTRANSLATED: Can you help the pingus escape without getting their flippers wet? || data/levels/alien/space-9-tom.pingus:6
UNTRANSLATED: Endless Loop || data/levels/alien/space-loop-timpany.pingus:5
UNTRANSLATED: To the right and to the left the Pingus will face certain death and you have to save 50. Can you help them get out of this mess? || data/levels/alien/space-loop-timpany.pingus:6
UNTRANSLATED: Up up in the space || data/levels/alien/space-tom1.pingus:7
UNTRANSLATED: What good is a pick in space? Certainly not to go to the stars. || data/levels/alien/space-tom1.pingus:8
UNTRANSLATED: Jump || data/levels/factorycampaign/factory_campaign10.pingus:5
UNTRANSLATED: All Pingus need is to jump.... Hint: While pausing (press P key) you still can control Pingus.  || data/levels/factorycampaign/factory_campaign10.pingus:6
UNTRANSLATED: Factory || data/levels/factorycampaign/factory_campaign11.pingus:5
UNTRANSLATED: Finally you reached the factory. Watch out as there are many dangers. Use bombers to destroy the basement of the factory. Good luck! || data/levels/factorycampaign/factory_campaign11.pingus:6
UNTRANSLATED: The Cave || data/levels/factorycampaign/factory_campaign3.pingus:5
UNTRANSLATED: Pingus on their way came across a huge cave. You have to lead them through. Remember that sometimes there is more than one way out. Hint: To 'unlock' blockers you can use bashers and jumpers. || data/levels/factorycampaign/factory_campaign3.pingus:6
UNTRANSLATED: Difficulties on the way || data/levels/factorycampaign/factory_campaign4.pingus:5
UNTRANSLATED: It looks you have encountered serious difficulties. But don't panic, Pingus are waiting for your orders, they count on you so don't fail! Hint: Miners, diggers and bashers are very important here! || data/levels/factorycampaign/factory_campaign4.pingus:6
UNTRANSLATED: Bomb and Double Catch || data/levels/xmas2011/xmas01-grumbel.pingus:5
UNTRANSLATED: Here you might have some time to relax. The path isn't complicated and a bit of bombing and catching of Pingus should bring you to the end without much trouble, but don't relax to much, your resources are limited, so be careful when using them. || data/levels/xmas2011/xmas01-grumbel.pingus:6
UNTRANSLATED: Up, Up and Away || data/levels/xmas2011/xmas02-grumbel.pingus:5
UNTRANSLATED: The exit is in a weird spot here, straight above. A bridge won't get you there, but your toolset allows an alternative way. Can you figure it out? || data/levels/xmas2011/xmas02-grumbel.pingus:6
UNTRANSLATED: If only penguins could fly || data/levels/xmas2011/xmas03-grumbel.pingus:5
UNTRANSLATED: Bridges are kind of rare around here, so don't waste any. That aside, you shouldn't have to much trouble here, everything to do here you should have learned, but you might have to use all that knowledge at once. || data/levels/xmas2011/xmas03-grumbel.pingus:6
UNTRANSLATED: Stairway to Heaven || data/levels/xmas2011/xmas04-grumbel.pingus:5
UNTRANSLATED: Here things start to get a little complicated. Getting up to the exit is hard enough with a single Pingu, but with all of them? Impossible! But wait, who says they have to come the same way? || data/levels/xmas2011/xmas04-grumbel.pingus:6
UNTRANSLATED: Misdirection Everywhere || data/levels/xmas2011/xmas05-grumbel.pingus:5
UNTRANSLATED: The last level for this Xmas. Looks a little complicated, right? Don't worry with all you have learned so far, you should be able to even solve this.\n\nGood Luck & a Merry Xmas 2011 || data/levels/xmas2011/xmas05-grumbel.pingus:6
UNTRANSLATED: The Big Jump || data/levels/xmas2011/xmas06-grumbel.pingus:5
UNTRANSLATED: Going in and out of the abyss with all Pingus isn't an option here, but a small group preparing the path for the others should get you across. || data/levels/xmas2011/xmas06-grumbel.pingus:6
UNTRANSLATED: No Way to Stop || data/levels/xmas2011/xmas07-grumbel.pingus:5
UNTRANSLATED: Here you don't have much time to waste. The path to the exit is clear and straight, but you don't have the time to prepare it. Can you find a way to leap ahead? || data/levels/xmas2011/xmas07-grumbel.pingus:6
UNTRANSLATED: Spiraling Away || data/levels/xmas2011/xmas10-grumbel.pingus:5
UNTRANSLATED: The exit is straight below, but the path is blocked by solid steel with no way through. But the Pingus have a versatile toolset at hand, can you use it to find a way around and make it to the exit? || data/levels/xmas2011/xmas10-grumbel.pingus:6
UNTRANSLATED: Learn the basics || data/worldmaps/tutorial.worldmap:6
UNTRANSLATED: The island consists of many areas that are ideal to teach the Pingus their abilities. The Pingus can learn to build bridges, climb, bash and use many other talents which they will need on their long and dangerous journey. || data/stories/tutorial_intro.story:50
UNTRANSLATED: While there, you can practice your abilities in commanding and guiding the Pingus. You can also get familiar with all the abilities the Pingus provide and learn to master them, since you will need all of them on your journey around the world. || data/stories/tutorial_intro.story:57
UNTRANSLATED: Now after you and the Pingus have learned the basics and practiced a bit it is time to move on and begin the journey into the world. Since the ice floe with which the Pingus traveled to the Tutorial Island isn't going to hold on the whole way into the warmer climates the Pingus have to find something else to guide them on their journey. || data/stories/tutorial_outro.story:9
UNTRANSLATED: So the Pingus sit on their raft, worrying about what's to come and where to go, while floating into the sunset.\n\nTo be continued... || data/stories/tutorial_outro.story:35
UNTRANSLATED: Alien by Josh Dye || data/levelsets/alien.levelset:3
UNTRANSLATED: Escape from alien || data/levelsets/alien.levelset:4
UNTRANSLATED: Crystal || data/levelsets/crystal.levelset:3
UNTRANSLATED: Crystaline sparkling full of danger || data/levelsets/crystal.levelset:4
UNTRANSLATED: Eye Land || data/levelsets/eyeland.levelset:2
UNTRANSLATED: Factory Campaign || data/levelsets/factory.levelset:3
UNTRANSLATED: Pingus expedition || data/levelsets/factory.levelset:4
UNTRANSLATED: Island of Mystery || data/levelsets/mysteryisland.levelset:3
UNTRANSLATED: Marooned on an Uncharted Isle [by Lachlan McCubbin] || data/levelsets/mysteryisland.levelset:4
UNTRANSLATED: Pac-Man || data/levelsets/pacman.levelset:3
UNTRANSLATED: Trapped in a video game || data/levelsets/pacman.levelset:4
player-facing Russian catalog still contains untranslated strings
